2012/04/18,A,X238
2012/04/18,F,212
2012/04/18,F,932
2012/04/18,A,523
2012/04/18,C,363
2012/04/18,A,366
2012/04/18,B,S387.8
2012/04/18,B,S332
2012/04/18,A,328
2012/04/18,C,074
2012/04/18,B,982
2012/04/18,D,231
2012/04/18,C,523.9
2012/04/19,B,333
2012/04/19,E,538.804
2012/04/20,F,233
2012/04/20,C,068.85
2012/04/20,B,293.7
2012/04/20,A,831
2012/04/20,A,983
2012/04/20,C,933
2012/04/20,F,891
2012/04/20,B,133
2012/04/20,C,530
2012/04/20,E,931.9
2012/04/20,B,014
2012/04/20,C,342.7
2012/04/20,E,133
2012/04/20,D,539
2012/04/20,C,049
2012/04/20,B,095
2012/04/20,B,928
2012/04/20,D,235
2012/04/20,C,723
2012/04/20,B,490
2012/04/21,B,849
2012/04/21,E,X913
2012/04/21,E,282
2012/04/21,F,S229
2012/04/21,C,192
2012/04/21,D,S533
2012/04/21,C,X392
2012/04/21,A,323
2012/04/21,E,X745
2012/04/21,E,X817
2012/04/21,B,229
2012/04/21,D,603
2012/04/21,A,833
2012/04/21,B,322.7
2012/04/21,C,483
2012/04/21,B,335
2012/04/21,A,S399
2012/04/21,B,230
2012/04/21,B,232
2012/04/21,B,583
2012/04/21,C,954
2012/04/21,A,148
2012/04/22,A,393
2012/04/22,D,398
2012/04/22,B,128
2012/04/22,C,476
2012/04/22,F,932
2012/04/22,D,743
2012/04/22,B,222.1
2012/04/22,A,223
2012/04/23,C,X829.4
2012/04/23,E,113
2012/04/23,C,332
2012/04/23,C,920.9
2012/04/23,C,X233
2012/04/23,C,229
2012/04/23,C,097
2012/04/23,B,A23
2012/04/23,C,269
2012/04/23,F,393
2012/04/23,F,903
2012/04/23,F,X323
2012/04/23,B,933
2012/04/23,C,221
2012/04/23,C,281
2012/04/23,C,292
2012/04/23,B,199
2012/04/23,C,313
2012/04/23,A,183.6
2012/04/23,C,X913
2012/04/23,B,S187
2012/04/23,B,A82
2012/04/23,B,S859
2012/04/23,F,311
2012/04/23,D,499
2012/04/23,D,382
2012/04/23,C,014
2012/04/23,F,993
2012/04/23,B,253
2012/04/23,F,329
2012/04/23,C,758
2012/04/23,B,318
2012/04/23,F,118
2012/04/23,F,923
2012/04/23,C,383
2012/04/23,C,520.0
2012/04/23,C,333
2012/04/23,A,359
2012/04/23,C,650
2012/04/23,E,323
2012/04/23,A,321
2012/04/23,B,652
2012/04/23,F,X130
2012/04/23,C,S789
2012/04/23,C,119.5
2012/04/23,B,A28
2012/04/23,A,799
2012/04/24,B,238
2012/04/24,C,X838
2012/04/24,C,360
2012/04/24,B,386.8
2012/04/24,B,393.39
2012/04/24,F,S923
2012/04/24,A,223
2012/04/24,A,532
2012/04/24,B,372.3
2012/04/24,C,923
2012/04/24,E,S393
2012/04/24,C,014
2012/04/24,A,259
2012/04/24,C,379
2012/04/24,B,X935
2012/04/24,C,999
2012/04/24,B,963
2012/04/24,C,194
2012/04/24,B,291
2012/04/24,C,A07
2012/04/24,F,399
2012/04/24,D,812
2012/04/24,A,249
2012/04/24,B,338
2012/04/24,D,928
2012/04/24,C,X122
2012/04/24,C,599
2012/04/24,D,151
2012/04/24,F,313
2012/04/24,E,354
2012/04/24,F,828
2012/04/24,A,213
2012/04/24,F,231
2012/04/24,A,913
2012/04/24,C,259
2012/04/24,C,024
2012/04/24,A,943
2012/04/24,B,236
2012/04/24,C,897
2012/04/24,F,469
2012/04/24,C,724
2012/04/24,D,614
2012/04/24,F,789
2012/04/24,C,933
2012/04/24,C,328
2012/04/24,C,390
2012/04/24,B,952
2012/04/24,E,933
2012/04/24,C,099
2012/04/24,F,343
2012/04/24,C,163
2012/04/24,A,392
2012/04/24,C,218
2012/04/24,B,X812.5
2012/04/24,B,820
2012/04/24,F,399
2012/04/24,E,X147.6
2012/04/24,A,532.3
2012/04/24,F,935
2012/04/24,B,257
2012/04/24,F,435
2012/04/24,C,273
2012/04/25,B,232
2012/04/25,C,099
2012/04/25,B,741
2012/04/25,C,X997
2012/04/25,B,349
2012/04/25,F,535
2012/04/25,C,920
2012/04/25,C,918
2012/04/25,F,892.02
2012/04/25,E,639
2012/04/26,D,355
2012/04/26,D,337
2012/04/26,F,669.4
2012/04/26,C,055.0
2012/04/26,C,037
2012/04/26,A,932
2012/04/26,F,024
2012/04/26,B,500
2012/04/26,B,S238
2012/04/26,F,509
2012/04/26,C,846
2012/04/26,D,X909
2012/04/26,A,093
2012/04/26,D,827
2012/04/27,F,532
2012/04/27,C,532
2012/04/27,F,044
2012/04/27,D,S511
2012/04/27,B,423
2012/04/27,B,091
2012/04/27,B,750
2012/04/27,D,X429
2012/04/27,D,213
2012/04/27,B,X209
2012/04/27,C,813
2012/04/27,A,321.2
2012/04/27,C,298
2012/04/27,D,029
2012/04/27,C,903
2012/04/27,C,115
2012/04/27,B,399
2012/04/27,D,939
2012/04/27,D,198
2012/04/27,C,389
2012/04/27,A,892
2012/04/27,C,951
2012/04/28,F,899
2012/04/28,F,123.0
2012/04/29,A,226
2012/04/29,B,595
2012/04/29,A,530
2012/04/29,B,X283.6
2012/04/29,B,325
2012/04/29,E,525
2012/04/29,C,088
2012/04/29,C,X633
2012/04/29,B,839
2012/04/29,B,380
2012/04/30,B,A39
2012/04/30,B,393.5
2012/04/30,C,278
2012/04/30,C,X279
2012/04/30,C,810
2012/05/01,C,581
2012/05/02,B,917
2012/05/03,C,999
2012/05/03,B,S065
2012/05/03,B,997
2012/05/03,C,550
2012/05/03,B,230
2012/05/03,F,592.0
2012/05/03,E,916
2012/05/03,D,533
2012/05/03,C,A33
2012/05/03,C,819
2012/05/03,C,509
2012/05/04,B,X352
2012/05/04,D,739
2012/05/04,C,504
2012/05/04,A,588
2012/05/04,D,347
2012/05/04,F,337
2012/05/04,C,A95
2012/05/04,C,442
2012/05/04,A,758
2012/05/04,C,321
2012/05/04,B,S520
2012/05/04,A,718
2012/05/05,C,303
2012/05/05,B,132
2012/05/05,C,S519.7
2012/05/05,C,661
2012/05/05,B,908.0
2012/05/05,C,092
2012/05/05,C,391
2012/05/05,A,115
2012/05/05,A,437
2012/05/05,F,342
2012/05/05,E,929
2012/05/05,C,255
2012/05/05,C,943
2012/05/05,C,525
2012/05/05,D,313
2012/05/05,B,X384
2012/05/05,D,988
2012/05/05,F,313
2012/05/05,D,233
2012/05/05,A,959
2012/05/05,B,X595
2012/05/05,C,521.6
2012/05/05,D,398
2012/05/06,A,331
2012/05/06,A,258
2012/05/06,B,328
2012/05/06,F,593
2012/05/06,A,922
2012/05/06,C,945
2012/05/06,A,A98
2012/05/06,F,279
2012/05/06,C,X129.4
2012/05/06,C,823
2012/05/06,D,483
2012/05/06,C,791
2012/05/06,C,313
2012/05/07,A,S723
2012/05/07,B,239
2012/05/08,B,989
2012/05/08,B,237
2012/05/08,F,399
2012/05/08,B,X200
2012/05/08,C,225
2012/05/08,C,493
2012/05/08,E,803
2012/05/08,C,A94
2012/05/08,F,632
2012/05/08,B,183
2012/05/08,C,113
2012/05/09,A,453
2012/05/09,A,332.9
2012/05/09,B,822
2012/05/09,B,243
2012/05/09,C,180
2012/05/09,C,890.9
2012/05/09,A,798
2012/05/09,C,382
2012/05/09,F,239
2012/05/09,B,545
2012/05/09,A,383
2012/05/09,C,394.2
2012/05/09,D,924
2012/05/09,D,A39
2012/05/09,B,398
2012/05/09,A,S043
2012/05/09,A,959
2012/05/09,E,392.4
2012/05/09,C,X959
2012/05/09,A,550
2012/05/09,D,956
2012/05/09,B,814.4
2012/05/09,C,331
2012/05/09,D,492
2012/05/09,C,319
2012/05/09,C,458.7
2012/05/09,E,983
2012/05/09,F,112
2012/05/09,B,835
2012/05/09,C,929
2012/05/09,A,923
2012/05/09,F,219
2012/05/09,B,933
2012/05/09,D,332
2012/05/09,B,093
2012/05/09,C,489
2012/05/09,E,932
2012/05/09,D,232
2012/05/09,C,342
2012/05/09,F,415
2012/05/09,D,539.1
2012/05/09,F,023
2012/05/09,A,539
2012/05/09,F,324
2012/05/09,D,S233
2012/05/09,B,653
2012/05/09,B,943
2012/05/09,A,383
2012/05/09,A,399
2012/05/09,F,262
2012/05/09,D,308
2012/05/09,D,924
2012/05/09,C,X994
2012/05/09,B,345
2012/05/09,F,533
2012/05/10,C,X043
2012/05/10,B,520
2012/05/10,B,684
2012/05/10,E,336
2012/05/10,F,518
2012/05/10,E,S837
2012/05/10,E,915
2012/05/10,A,923
2012/05/10,A,A33
2012/05/10,C,433
2012/05/10,C,289
2012/05/10,C,193
2012/05/10,B,498
2012/05/10,E,236
2012/05/10,B,885
2012/05/10,F,992
2012/05/10,C,851
2012/05/10,B,032
2012/05/10,E,873
2012/05/10,B,293
2012/05/10,B,X918
2012/05/10,C,S382.9
2012/05/10,C,859
2012/05/10,B,198
2012/05/10,F,S342
2012/05/10,C,S369
2012/05/10,F,328
2012/05/10,E,485
2012/05/10,D,243.4
2012/05/10,F,393
2012/05/10,D,719
2012/05/10,A,324
2012/05/11,B,954.6
2012/05/11,C,175
2012/05/11,B,926
2012/05/11,C,533
2012/05/11,C,312
2012/05/11,A,189
2012/05/11,B,584
2012/05/11,C,399
2012/05/11,C,363
2012/05/11,B,812
2012/05/11,C,423
2012/05/11,B,133
2012/05/11,B,226
2012/05/11,C,387
2012/05/11,C,183
2012/05/11,E,294
2012/05/11,F,806.6
2012/05/11,E,722
2012/05/11,B,926
2012/05/11,A,S223
2012/05/11,A,331
2012/05/11,D,315
2012/05/11,C,421
2012/05/11,F,381
2012/05/12,C,550
2012/05/12,F,X151
2012/05/12,C,273
2012/05/12,C,533
2012/05/12,B,X371
2012/05/12,B,339
2012/05/12,D,S399
2012/05/12,E,293
2012/05/12,F,A42
2012/05/12,C,X493
2012/05/13,F,122
2012/05/13,C,139
2012/05/13,F,X825
2012/05/13,E,103
2012/05/13,C,222
2012/05/13,C,764
2012/05/13,E,811
2012/05/13,B,S283.4
2012/05/13,B,302
2012/05/13,B,895
2012/05/13,F,332
2012/05/13,C,S753
2012/05/13,B,539
2012/05/13,C,285.3
2012/05/13,A,S725
2012/05/14,C,233
2012/05/14,A,812
2012/05/14,E,949
2012/05/14,C,953
2012/05/14,A,S893
2012/05/14,C,350
2012/05/14,C,392.46
2012/05/14,B,393
2012/05/14,D,333
2012/05/14,B,734
2012/05/14,C,S107
2012/05/14,C,998
2012/05/14,C,233
2012/05/14,A,326
2012/05/14,A,992
2012/05/14,E,871
2012/05/14,F,443
2012/05/14,B,992
2012/05/15,C,733
2012/05/15,B,982
2012/05/15,E,038
2012/05/15,C,295.0
2012/05/15,E,323
2012/05/15,C,A33.0
2012/05/15,A,133
2012/05/15,C,X879
2012/05/15,C,X797
2012/05/15,F,848
2012/05/15,B,133.5
2012/05/15,A,293
2012/05/15,C,135
2012/05/15,B,130
2012/05/15,B,333.7
2012/05/15,D,303
2012/05/15,B,393
2012/05/15,C,623
2012/05/15,F,593.5
2012/05/15,C,229
2012/05/15,A,S283
2012/05/15,B,752
2012/05/15,B,731
2012/05/15,B,935
2012/05/15,B,182
2012/05/15,F,094
2012/05/15,C,763
2012/05/15,F,381
2012/05/16,B,982
2012/05/16,D,850
2012/05/17,F,363
2012/05/17,B,495
2012/05/17,D,294
2012/05/17,A,998
2012/05/17,F,137
2012/05/17,A,233.4
2012/05/17,F,262
2012/05/17,F,812
2012/05/17,F,233.6
2012/05/17,A,X322
2012/05/17,B,223
2012/05/17,B,391
2012/05/17,B,863
2012/05/17,C,760
2012/05/17,C,322
2012/05/17,C,633
2012/05/17,B,331
2012/05/17,C,382.8
2012/05/18,C,825
2012/05/18,D,739
2012/05/18,E,793
2012/05/19,C,882
2012/05/19,C,334
2012/05/20,C,319.9
2012/05/20,F,368
2012/05/20,C,569
2012/05/20,E,395.6
2012/05/20,B,239.4
2012/05/20,B,382
2012/05/20,B,A77.80
2012/05/20,F,928
2012/05/20,F,732
2012/05/20,A,330.2
2012/05/20,C,693
2012/05/20,A,922
2012/05/20,C,652
2012/05/20,F,602
2012/05/20,F,838
2012/05/20,B,215
2012/05/20,B,912
2012/05/20,C,927
2012/05/20,B,A58.9
2012/05/20,B,226.5
2012/05/20,C,303
2012/05/20,B,433
2012/05/20,F,876
2012/05/20,C,638.563
2012/05/21,D,756
2012/05/21,B,239.3
2012/05/21,D,912
2012/05/21,B,353
2012/05/21,B,319
2012/05/21,B,X317
2012/05/21,B,899
2012/05/21,C,S965
2012/05/21,C,199
2012/05/21,C,120
2012/05/21,E,232.2
2012/05/21,C,834
2012/05/21,B,223
2012/05/21,B,208
2012/05/21,B,254
2012/05/21,B,290
2012/05/21,A,393
2012/05/21,B,152
2012/05/21,C,325
2012/05/21,B,027
2012/05/21,C,231
2012/05/21,B,039
2012/05/21,A,322
2012/05/22,B,983
2012/05/22,F,332
2012/05/22,A,043
2012/05/22,B,A89
2012/05/22,E,A32
2012/05/22,D,837
2012/05/22,A,938
2012/05/22,C,842
2012/05/22,B,790
2012/05/22,C,181
2012/05/22,F,333
2012/05/22,E,999
2012/05/22,C,333.7
2012/05/22,C,X452
2012/05/22,C,X937
2012/05/23,A,924
2012/05/23,C,S838
2012/05/23,B,229
2012/05/23,A,533
2012/05/23,F,091
2012/05/23,B,499.2
2012/05/23,B,363
2012/05/23,B,913
2012/05/23,B,899
2012/05/23,C,592
2012/05/23,D,192
2012/05/23,C,492
2012/05/23,F,913
2012/05/24,B,093
2012/05/24,F,483
2012/05/24,B,037
2012/05/24,B,693.9
2012/05/24,C,S293
2012/05/24,C,110
2012/05/24,C,X959.6
2012/05/24,C,X223
2012/05/24,A,810
2012/05/24,B,229
2012/05/24,F,179
2012/05/24,B,340
2012/05/24,C,182.7
2012/05/24,A,810
2012/05/24,F,312
