2012/04/23	A04	3088
2012/04/23	A05	2374
2012/04/24	A05	1040
2012/04/25	A02	13800
2012/04/25	A05	3348
2012/04/25	A05	1285
2012/04/25	A05	2479
2012/04/25	B01	4100
2012/04/25	A04	3524
2012/04/25	A02	3640
2012/04/25	B01	240
2012/04/25	B02	14800
2012/04/26	A02	475
2012/04/26	B02	165
2012/04/26	B01	3338
2012/04/26	B02	7700
2012/04/27	A04	375
2012/04/27	A03	277
2012/04/27	B02	1621
2012/04/28	B02	355
2012/04/28	A01	2360
2012/04/28	A02	1800
2012/04/28	A01	19800
2012/04/28	A05	3360
2012/04/28	A01	25
2012/04/28	B02	3440
2012/04/28	B02	280
2012/04/28	A02	3240
2012/04/28	B01	1774
2012/04/28	A03	450
2012/04/28	B01	1282
2012/04/28	B01	2840
2012/04/28	A05	355
2012/04/28	B02	3280
2012/04/28	A01	1280
2012/04/28	B02	1348
2012/04/28	A05	1000
2012/04/28	B01	2360
2012/04/28	B02	3639
2012/04/28	A03	2779
2012/04/28	B02	1484
2012/04/28	A04	1840
2012/04/28	A02	13000
2012/04/28	A02	14700
2012/04/28	A02	6100
2012/04/28	A01	1197
2012/04/28	A02	350
2012/04/28	A02	2200
2012/04/28	A02	3600
2012/04/28	A02	2560
2012/04/28	B02	3200
2012/04/28	B01	3080
2012/04/28	B02	2065
2012/04/28	B01	2977
2012/04/28	A03	1400
2012/04/28	A02	1160
2012/04/28	A02	1559
2012/04/28	B02	3000
2012/04/28	B02	7300
2012/04/28	B02	115
2012/04/28	A05	3085
2012/04/28	A05	3451
2012/04/28	A01	2654
2012/04/28	A02	320
2012/04/28	A02	548
2012/04/28	B02	1853
2012/04/28	A05	420
2012/04/28	B02	2520
2012/04/28	B01	150
2012/04/28	A05	1086
2012/04/28	B01	3463
2012/04/28	A04	1680
2012/04/28	B01	2311
2012/04/28	B02	1863
2012/04/28	A05	2232
2012/04/28	B01	475
2012/04/28	A02	720
2012/04/28	B02	2680
2012/04/28	A02	3537
2012/04/28	A02	450
2012/04/28	B02	11300
2012/04/28	A04	240
2012/04/28	A05	1944
2012/04/28	B01	215
2012/04/28	A03	275
2012/04/28	A01	760
2012/04/28	B02	350
2012/04/28	A04	3685
2012/04/28	B02	3697
2012/04/28	B02	3349
2012/04/28	A01	14000
2012/04/28	A01	3120
2012/04/28	A02	2334
2012/04/28	A05	761
2012/04/28	A05	8600
2012/04/28	A03	2847
2012/04/28	A05	2679
2012/04/28	A05	16600
2012/04/28	B02	686
2012/04/28	A05	12400
2012/04/28	A01	2600
2012/04/29	A01	105
2012/04/29	B01	1308
2012/04/29	B02	1560
2012/04/29	A01	2640
2012/04/30	A04	385
2012/04/30	A03	480
2012/04/30	B02	7500
2012/04/30	B02	330
2012/04/30	B01	280
2012/04/30	B02	1400
2012/04/30	B02	3520
2012/04/30	A02	805
2012/04/30	B01	1080
2012/04/30	A05	1200
2012/04/30	A05	180
2012/04/30	B01	1760
2012/04/30	B01	920
2012/05/01	A02	693
2012/05/01	B02	460
2012/05/01	B02	3359
2012/05/01	B01	1578
2012/05/02	A04	3600
2012/05/02	A01	2488
2012/05/02	A05	305
2012/05/02	A05	2400
2012/05/02	B02	325
2012/05/02	A04	1407
2012/05/02	A05	3737
2012/05/02	A04	5000
2012/05/02	A02	280
2012/05/02	A03	720
2012/05/02	B01	11100
2012/05/02	B02	2540
2012/05/02	B01	3120
2012/05/02	B02	2996
2012/05/02	A04	12300
2012/05/02	A01	1402
2012/05/02	B02	11300
2012/05/02	A01	600
2012/05/02	B01	3103
2012/05/02	B02	960
2012/05/02	B02	2720
2012/05/02	A02	375
2012/05/02	A05	435
2012/05/02	A05	809
2012/05/02	A05	240
2012/05/02	A02	1680
2012/05/02	B01	1870
2012/05/03	A04	450
2012/05/03	B02	440
2012/05/03	B01	260
2012/05/04	B01	220
2012/05/04	A02	522
2012/05/04	B02	3537
2012/05/04	A02	60
2012/05/04	A05	2360
2012/05/04	A03	110
2012/05/04	A02	9600
2012/05/04	A02	2232
2012/05/04	B01	4600
2012/05/04	B01	1258
2012/05/04	B02	240
2012/05/04	A01	1769
2012/05/04	A02	445
2012/05/04	A01	878
2012/05/04	A05	17100
2012/05/04	B01	480
2012/05/04	B02	3900
2012/05/04	A05	1596
2012/05/04	A05	3680
2012/05/04	B02	3720
2012/05/04	A05	400
2012/05/05	B01	600
2012/05/05	B02	3779
2012/05/05	A02	760
2012/05/05	B02	9700
2012/05/05	A01	19500
2012/05/05	A01	1360
2012/05/05	A04	3720
2012/05/06	B02	1520
2012/05/06	A02	2334
2012/05/06	B02	1560
2012/05/06	A03	743
2012/05/06	B02	1360
2012/05/07	A04	14100
2012/05/07	A02	3760
2012/05/07	B02	2280
2012/05/07	A02	3520
2012/05/07	B02	255
2012/05/07	B02	2847
2012/05/07	B01	15600
2012/05/07	A04	240
2012/05/07	A03	11500
2012/05/07	B01	920
2012/05/07	B01	395
2012/05/07	A01	2816
2012/05/07	B01	2900
2012/05/07	B01	4400
2012/05/07	B02	40
2012/05/07	A02	1560
2012/05/07	A01	2480
2012/05/07	B02	1090
2012/05/07	A05	880
2012/05/07	B02	155
2012/05/07	A01	2960
2012/05/07	B01	2680
2012/05/08	A02	800
2012/05/08	A05	800
2012/05/08	A02	440
2012/05/08	A03	5500
2012/05/08	B02	4300
2012/05/08	A01	1929
2012/05/08	B01	50
2012/05/08	B02	2240
2012/05/08	A05	3320
2012/05/09	B02	3760
2012/05/10	B02	2520
2012/05/10	B01	600
2012/05/10	B02	290
2012/05/10	B02	10500
